,AUPRC
Steroid Sulfatase Deficiency Disease,0.0679806584534695
Liver Failure,0.030873756879719067
Azoospermia,0.049431969027977106
Atrial Premature Complexes,0.06442106334831421
Systemic Inflammatory Response Syndrome,0.0450653655991307
MYOTONIC DYSTROPHY 1,0.038004100841390484
"Carcinoma, Small Cell",0.07978410484169028
Iron deficiency,0.030122699560891007
Hypoxic-Ischemic Encephalopathy,0.03766022072369354
Sporadic Parkinson disease,0.05510600474646456
Prolactinoma,0.0855988683880092
Cleft Palate,0.04988392281577582
Neurilemmoma,0.053177263217587735
"Hypercholesterolemia, Familial",0.08314720662927652
Respiratory Failure,0.02816350265045943
Lymphopenia,0.07598769409356602
"Neuroectodermal Tumor, Primitive",0.04641660013190259
trachomatis,0.05095248996753618
Pneumocystis jiroveci pneumonia,0.04557256941100292
Malignant Childhood Neoplasm,0.09190630427931938
"Breast Cancer, Familial",0.12502918762922977
Juvenile Myelomonocytic Leukemia,0.07132359955049164
Uranostaphyloschisis,0.04998083980345606
Polymyositis,0.06176908146312441
Testicular Germ Cell Tumor,0.0852230682623672
Congenital atresia of extrahepatic bile duct,0.08530932357291666
Leprosy,0.07801851781819048
Motor Neuron Disease,0.07726334772263417
HER2 gene amplification,0.09724830956636987
Von Hippel-Lindau Syndrome,0.060950288004280394
Peritoneal dissemination,0.05257073962244914
Hurthle Cell Tumor,0.07934566301817739
Pterygium Of Conjunctiva And Cornea,0.067455858276188
Sezary Syndrome,0.06036469911514119
Biliary Atresia,0.08711306632710199
Pterygium of eye,0.06895680895816922
Limb ischemia,0.04166068624322646
Thyroid Gland Follicular Adenoma,0.04771843298635458
Ameloblastoma,0.07732701745816759
Severe Sepsis,0.06433225824156859
Oral Cavity Carcinoma,0.05908187599741836
Primary differentiated carcinoma of thyroid gland,0.045738637213163125
Prader-Willi Syndrome,0.06076112130029177
Progressive supranuclear palsy,0.05676374920294847
Childhood Soft Tissue Sarcoma,0.06589315801632085
Bilateral cataracts (disorder),0.06096241158097102
Obsessive-Compulsive Disorder,0.055205424829121566
Lyme Disease,0.03295110569966684
Complicated malaria,0.04254625334172496
Infection by Cryptococcus neoformans,0.04899929881418777
Primary Effusion Lymphoma,0.05685412608326846
Eosinophilic esophagitis,0.058595706030247004
Biliary Tract Cancer,0.04600236825117854
"Hemorrhagic Fever, Ebola",0.046470061112092106
Gilles de la Tourette syndrome,0.03564378234005002
West Nile viral infection,0.053643824474943654
Keratoconus,0.04612410587006382
"Osteoporosis, Postmenopausal",0.042153189857218665
Teratoma,0.06921352781948106
Ventricular arrhythmia,0.04383532089902583
Gastroesophageal reflux disease,0.04135498555765851
Nicotine Dependence,0.10046262754536056
Common Variable Immunodeficiency,0.0723646466624306
Adult Soft Tissue Sarcoma,0.06489109993496321
Hereditary Nonpolyposis Colorectal Cancer,0.10180466796564648
Microphthalmos,0.0407947082651367
Severe intellectual disability,0.03441442088116113
Agenesis,0.04317828410194517
Paraganglioma,0.05396320852435817
Waldenstrom Macroglobulinemia,0.06284207841978467
Non-Metastatic Childhood Soft Tissue Sarcoma,0.06208241938175326
HER2-negative breast cancer,0.06097854060082529
Adult Acute Myeloblastic Leukemia,0.0415219234013691
Turner Syndrome,0.06356050086046378
DOSAGE-SENSITIVE SEX REVERSAL,0.04993085275561068
Embryonal Carcinoma,0.04944495734175497
MAJOR AFFECTIVE DISORDER 2,0.03204537656126869
Dejerine-Sottas Disease (disorder),0.04679261375752215
Amnesia,0.05022368097031788
Extrapulmonary Small Cell Carcinoma,0.05008394114167209
Hereditary pancreatitis,0.07944993804783476
Failure to Thrive,0.07185030920082508
Miller Dieker syndrome,0.04992920695012112
beta^+^ Thalassemia,0.04691076294116977
"Leukemia, Myelomonocytic, Chronic",0.050885673405574844
Idiopathic pulmonary hypertension,0.064135925711199
Primary central nervous system lymphoma,0.05967293221319465
Primary Ciliary Dyskinesia,0.03793552317518654
Hyperuricemia,0.04495391222950215
Mucinous Adenocarcinoma,0.04807098415963769
Anastomosis,0.03412712824148357
Cerebral atrophy,0.04025908770273814
Acute Megakaryocytic Leukemias,0.06492445660241451
Cryptorchidism,0.03427524953072775
Dry Eye Syndromes,0.05339340905390496
Myotonic Dystrophy,0.03905440449321485
Endometriosis of uterus,0.03743346176600944
Hemangiosarcoma,0.05554957845749083
Skin callus,0.04983202046541926
Episodic Kinesigenic Dyskinesia 1,0.05717822952444909
Luminal A Breast Carcinoma,0.046068451185649534
Follicular adenoma,0.04718242710296035
Membranous glomerulonephritis,0.03866616275615544
"Malaria, Falciparum",0.03340923620882004
"Melanoma, B16",0.05866115013598412
Advanced breast cancer,0.056592121275307654
Pituitary Adenoma,0.06138879756571595
Childhood Oligodendroglioma,0.06166133307153951
Adult Oligodendroglioma,0.059727726554660944
Thrombophilia,0.12083430948572584
Bloom Syndrome,0.05608090332260395
Dyskinetic syndrome,0.05536957982834023
Mucoepidermoid Carcinoma,0.07616940708820073
Klinefelter Syndrome,0.05107929478583418
Squamous cell carcinoma of oropharynx,0.049936947384689755
Varicosity,0.05562988052942825
Marijuana Abuse,0.03968747308321666
Childhood Ependymoma,0.03973008805770659
Acute respiratory distress,0.043097505630733404
Diphtheria,0.05588078731454323
Mixed anxiety and depressive disorder,0.037432317791738175
Pilocytic Astrocytoma,0.060402554824667665
Metastatic Renal Cell Cancer,0.06129690411285557
Fibroadenoma,0.050240388577127926
Malignant Fibrous Histiocytoma,0.049393222252974205
Childhood Hepatocellular Carcinoma,0.050530740202776085
Lymphocytic Choriomeningitis,0.05622451004100148
Stable angina,0.044309491619665346
Metastatic Renal Cell Carcinoma,0.06734854440500372
"Malaria, Cerebral",0.08425028710698011
Adult Hepatocellular Carcinoma,0.05080158042615788
Newly Diagnosed Childhood Ependymoma,0.0365842747724487
Adult Ependymoma,0.03781601010379199
Childhood Liposarcoma,0.050722737027209676
Adrenal Cortical Adenoma,0.07165446953152783
Adult Liposarcoma,0.050014827255685075
Gaucher Disease,0.034327304530793995
Hemophilia A,0.0857276525821646
Hairy Cell Leukemia,0.05641934233088831
Multiple Endocrine Neoplasia Type 1,0.04378178202663827
Early-Stage Breast Carcinoma,0.04974799490589911
Adult Leiomyosarcoma,0.043003951643631834
