Entrez_A	Entrez_B	ID
164	8905	1229
130340	164	1230
164	5045	1231
164	55690	1232
164	9135	1233
8906	8907	1234
10053	8906	1235
1174	8906	1236
8905	8906	1237
130340	8906	1238
10053	8907	1239
1174	8907	1240
8905	8907	1241
130340	8907	1242
10053	1174	1243
10053	8905	1244
10053	130340	1245
1174	8905	1246
1174	130340	1247
130340	8905	1248
160	8943	1249
10369	160	1250
160	891	1251
160	29924	1252
160	8650	1253
10928	160	1254
10369	1173	1255
1173	2890	1256
1173	2891	1257
8120	8546	1258
8546	8943	1259
26985	8546	1260
10947	8546	1261
1176	8546	1262
10239	8546	1263
8546	9138	1264
8546	9181	1265
2647	8546	1266
282991	8546	1267
388552	8546	1268
55330	8546	1269
63915	8546	1270
26258	8546	1271
829	8546	1272
832	8546	1273
1213	8546	1274
1785	8546	1275
85440	8546	1276
84062	8546	1277
23307	8546	1278
4734	8546	1279
55361	8546	1280
23557	8546	1281
387680	8546	1282
23325	8546	1283
8546	9897	1284
8120	8943	1285
26985	8120	1286
10947	8120	1287
1176	8120	1288
10239	8120	1289
2647	8120	1290
282991	8120	1291
388552	8120	1292
55330	8120	1293
63915	8120	1294
26258	8120	1295
8120	84062	1296
23557	8120	1297
26985	8943	1298
10947	8943	1299
1176	8943	1300
10239	8943	1301
2647	8943	1302
282991	8943	1303
388552	8943	1304
55330	8943	1305
63915	8943	1306
26258	8943	1307
10369	8943	1308
84062	8943	1309
23557	8943	1310
10947	26985	1311
1176	26985	1312
10239	26985	1313
2647	26985	1314
26985	282991	1315
26985	388552	1316
26985	55330	1317
26985	63915	1318
26258	26985	1319
26985	84062	1320
23557	26985	1321
10947	1176	1322
10239	10947	1323
10947	2647	1324
10947	282991	1325
10947	388552	1326
10947	55330	1327
10947	63915	1328
10947	26258	1329
10369	10947	1330
10947	84062	1331
10947	2890	1332
10947	2891	1333
10947	23557	1334
10239	1176	1335
1176	2647	1336
1176	282991	1337
1176	388552	1338
1176	55330	1339
1176	63915	1340
1176	26258	1341
1176	84062	1342
1176	23557	1343
10239	2647	1344
10239	282991	1345
10239	388552	1346
10239	55330	1347
10239	63915	1348
10239	26258	1349
10239	84062	1350
10239	23557	1351
10717	23431	1352
10717	9179	1353
10717	11154	1354
23431	9179	1355
11154	23431	1356
11154	9179	1357
55745	91056	1358
55317	91056	1359
91056	9907	1360
80208	91056	1361
23503	91056	1362
55317	55745	1363
55745	9907	1364
55745	80208	1365
23503	55745	1366
55317	9907	1367
55317	80208	1368
23503	55317	1369
80208	9907	1370
23503	9907	1371
317	842	1372
317	54205	1373
320	8573	1374
1739	320	1375
320	8825	1376
320	55327	1377
322	351	1378
3065	322	1379
5216	54518	1380
54518	5906	1381
54518	7408	1382
10524	322	1383
322	4035	1384
322	57616	1385
324	8312	1386
324	998	1387
324	6249	1388
1499	324	1389
1742	324	1390
2932	324	1391
324	8826	1392
324	5879	1393
23513	324	1394
324	7846	1395
324	7283	1396
328	4435	1397
3091	328	1398
328	3364	1399
328	5810	1400
328	5883	1401
328	6774	1402
51107	682	1403
28514	51107	1404
23385	51107	1405
51107	5663	1406
51107	5664	1407
51107	55851	1408
10972	51107	1409
23385	83464	1410
5663	83464	1411
5664	83464	1412
55851	83464	1413
708	8539	1414
1152	8539	1415
10212	8539	1416
2010	8539	1417
2247	8539	1418
3068	8539	1419
3024	8539	1420
3190	8539	1421
3191	8539	1422
3192	8539	1423
3609	8539	1424
8539	8826	1425
23592	8539	1426
4001	8539	1427
51691	8539	1428
8539	9111	1429
27250	8539	1430
5934	8539	1431
6632	8539	1432
7067	8539	1433
7531	8539	1434
10971	8539	1435
335	8542	1436
335	718	1437
2335	335	1438
3250	335	1439
335	3507	1440
718	8542	1441
2335	8542	1442
3250	8542	1443
3507	8542	1444
139322	79135	1445
54927	79135	1446
79135	84303	1447
55735	79135	1448
10989	79135	1449
139322	54927	1450
139322	84303	1451
139322	55735	1452
10989	139322	1453
139322	4580	1454
10651	139322	1455
139322	25813	1456
4580	79135	1457
10651	79135	1458
25813	79135	1459
2308	351	1460
2309	351	1461
351	4303	1462
10524	351	1463
26060	367	1464
26060	8841	1465
351	4035	1466
351	9968	1467
351	5663	1468
351	5664	1469
100287932	351	1470
27242	351	1471
10452	351	1472
351	7416	1473
361	481	1474
220296	361	1475
361	3766	1476
23209	361	1477
361	54212	1478
361	59341	1479
10286	9716	1480
84811	9716	1481
8896	9716	1482
58509	9716	1483
10421	9716	1484
51362	9716	1485
9716	988	1486
51755	9716	1487
29105	9716	1488
1153	9716	1489
11052	9716	1490
51340	9716	1491
56259	9716	1492
51503	9716	1493
57703	9716	1494
10283	9716	1495
10521	9716	1496
9416	9716	1497
7919	9716	1498
1654	9716	1499
51428	9716	1500
9716	9879	1501
1655	9716	1502
1665	9716	1503
8449	9716	1504
60625	9716	1505
9716	9785	1506
1659	9716	1507
1660	9716	1508
22826	9716	1509
9343	9716	1510
9716	9775	1511
8220	9716	1512
2483	9716	1513
55094	9716	1514
3178	9716	1515
3181	9716	1516
220988	9716	1517
3183	9716	1518
3185	9716	1519
3187	9716	1520
3190	9716	1521
4670	9716	1522
10236	9716	1523
3192	9716	1524
27336	9716	1525
10643	9716	1526
3550	9716	1527
57461	9716	1528
57819	9716	1529
27258	9716	1530
25804	9716	1531
11157	9716	1532
51690	9716	1533
51747	9716	1534
4116	9716	1535
4236	9716	1536
4343	9716	1537
23517	9716	1538
4686	9716	1539
22916	9716	1540
11051	9716	1541
26986	9716	1542
94104	9716	1543
5356	9716	1544
5411	9716	1545
10450	9716	1546
10465	9716	1547
51645	9716	1548
23759	9716	1549
53938	9716	1550
5496	9716	1551
23398	9716	1552
8559	9716	1553
27339	9716	1554
26121	9716	1555
9129	9716	1556
55660	9716	1557
8899	9716	1558
9128	9716	1559
24148	9716	1560
10594	9716	1561
22827	9716	1562
22913	9716	1563
64783	9716	1564
84991	9716	1565
55696	9716	1566
58517	9716	1567
9584	9716	1568
9716	9939	1569
27316	9716	1570
10921	9716	1571
9092	9716	1572
7536	9716	1573
10291	9716	1574
8175	9716	1575
10946	9716	1576
23451	9716	1577
10992	9716	1578
23450	9716	1579
10262	9716	1580
51639	9716	1581
10569	9716	1582
10285	9716	1583
55234	9716	1584
23020	9716	1585
11017	9716	1586
9410	9716	1587
6625	9716	1588
6627	9716	1589
6626	9716	1590
6629	9716	1591
6628	9716	1592
6631	9716	1593
6632	9716	1594
6633	9716	1595
6634	9716	1596
6635	9716	1597
6636	9716	1598
6637	9716	1599
4809	9716	1600
22938	9716	1601
23013	9716	1602
10250	9716	1603
23524	9716	1604
51593	9716	1605
9295	9716	1606
6426	9716	1607
6427	9716	1608
6428	9716	1609
6429	9716	1610
6430	9716	1611
6431	9716	1612
6432	9716	1613
8683	9716	1614
25949	9716	1615
10492	9716	1616
10915	9716	1617
24144	9716	1618
9716	9984	1619
57187	9716	1620
84321	9716	1621
8563	9716	1622
79228	9716	1623
80145	9716	1624
6434	9716	1625
79002	9716	1626
10907	9716	1627
7307	9716	1628
11338	9716	1629
23350	9716	1630
10713	9716	1631
25962	9716	1632
51729	9716	1633
84292	9716	1634
9589	9716	1635
56949	9716	1636
55596	9716	1637
7756	9716	1638
369	5295	1639
1499	367	1640
367	56998	1641
367	64800	1642
2100	367	1643
23647	375	1644
375	400	1645
375	5311	1646
23647	400	1647
23647	5311	1648
1495	79658	1649
55114	829	1650
55114	832	1651
23607	55114	1652
55114	8777	1653
55114	64398	1654
143098	55114	1655
55114	56288	1656
10207	55114	1657
55114	5584	1658
30011	55114	1659
23779	663	1660
23370	408	1661
23370	55740	1662
9138	9181	1663
829	9138	1664
832	9138	1665
1213	9138	1666
1785	9138	1667
85440	9138	1668
23307	9138	1669
9138	9630	1670
4734	9138	1671
55361	9138	1672
387680	9138	1673
23325	9138	1674
9138	9897	1675
115557	2776	1676
115557	387	1677
829	9181	1678
