random_means,random_medians,top_k_mean,top_k_median,k,0,1,2-5,6-10,11-20,21+,network,Name,method,weighted_mean,size
0.43,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.54,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.49,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.43,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.27,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.49,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.21,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.32,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.24,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.62,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.5,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.55,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.63,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.25,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.84,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.26,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.4,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.33,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.44,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.41,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.44,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.37,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.5,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.41,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.42,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.29,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.67,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.38,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.4,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.45,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.38,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.68,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.54,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.39,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.33,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.59,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.36,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.49,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.34,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.44,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.27,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.4,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.55,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.42,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.25,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.57,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.31,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.29,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
1.02,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.42,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.37,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.57,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.31,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.34,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.49,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.5,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.86,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.27,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.68,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.15,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
0.42,0.0,4.732673267326732,4.0,100,10,12,57,7,15,0,proper_all,PROPER,L3,3.33,209830.0
