	GeneA	GeneB
926	6137	6143
927	6138	6143
928	6143	23521
929	6141	6143
930	6143	6144
931	6143	6146
932	6143	6152
933	6143	6147
934	6143	6154
935	6143	6155
936	6143	6156
937	6143	6161
938	6143	6165
939	6143	11224
940	6143	6167
941	6143	6169
942	6143	7311
943	6143	6168
944	6143	6158
945	3921	6143
946	6122	6143
947	6143	6189
948	6143	6188
949	6143	6193
950	6143	6202
951	6143	6204
952	6143	6217
953	6143	6223
954	6143	6227
955	6143	6228
956	6143	6231
957	6143	6234
958	6143	6235
959	6125	6143
960	6143	6187
961	6143	6203
962	6143	6207
963	6143	6232
964	6129	6143
965	6142	9349
966	6142	6157
967	6142	6159
968	6142	6160
969	6142	6164
970	6142	25873
971	6142	6170
972	6142	6171
973	6142	6173
974	4736	6142
975	6142	6191
976	6142	6201
977	6142	6205
978	6142	6209
979	6142	6218
980	6142	6222
981	6142	6224
982	6142	6233
983	6142	10399
984	6142	6194
985	6142	6208
986	6142	6210
987	6142	6229
988	6142	6230
989	2197	6142
990	6137	6142
991	6138	6142
992	6142	23521
993	6141	6142
994	6142	6144
995	6142	6146
996	6142	6152
997	6142	6147
998	6142	6154
999	6142	6155
1000	6142	6156
1001	6142	6161
1002	6142	6165
1003	6142	11224
1004	6142	6167
1005	6142	6169
1006	6142	7311
1007	6142	6168
1008	6142	6158
1009	3921	6142
1010	6122	6142
1011	6142	6189
1012	6142	6188
1013	6142	6193
1014	6142	6202
1015	6142	6204
1016	6142	6217
1017	6142	6223
1018	6142	6227
1019	6142	6228
1020	6142	6231
1021	6142	6234
1022	6142	6235
1023	6125	6142
1024	6142	6187
1025	6142	6203
1026	6142	6207
1027	6142	6232
1028	6129	6142
1029	6157	9349
1030	6159	9349
1031	6160	9349
1032	6164	9349
1033	9349	25873
1034	6170	9349
1035	6171	9349
1036	6173	9349
1037	4736	9349
1038	6191	9349
1039	6201	9349
1040	6205	9349
1041	6209	9349
1042	6218	9349
1043	6222	9349
1044	6224	9349
1045	6233	9349
1046	9349	10399
1047	6194	9349
1048	6208	9349
1049	6210	9349
1050	6229	9349
1051	6230	9349
1052	2197	9349
1053	6137	9349
1054	6138	9349
1055	9349	23521
1056	6141	9349
1057	6144	9349
1058	6146	9349
1059	6152	9349
1060	6147	9349
1061	6154	9349
1062	6155	9349
1063	6156	9349
1064	6161	9349
1065	6165	9349
1066	9349	11224
1067	6167	9349
1068	6169	9349
1069	7311	9349
1070	6168	9349
1071	6158	9349
1072	3921	9349
1073	6122	9349
1074	6189	9349
1075	6188	9349
1076	6193	9349
1077	6202	9349
1078	6204	9349
1079	6217	9349
1080	6223	9349
1081	6227	9349
1082	6228	9349
1083	6231	9349
1084	6234	9349
1085	6235	9349
1086	6125	9349
1087	6187	9349
1088	6203	9349
1089	6207	9349
1090	6232	9349
1091	6129	9349
1092	6157	6159
1093	6157	6160
1094	6157	6164
1095	6157	25873
1096	6157	6170
1097	6157	6171
1098	6157	6173
1099	4736	6157
1100	6157	6191
1101	6157	6201
1102	6157	6205
1103	6157	6209
1104	6157	6218
1105	6157	6222
1106	6157	6224
1107	6157	6233
1108	6157	10399
1109	6157	6194
1110	6157	6208
1111	6157	6210
1112	6157	6229
1113	6157	6230
1114	2197	6157
1115	6137	6157
1116	6138	6157
1117	6157	23521
1118	6141	6157
1119	6144	6157
1120	6146	6157
1121	6152	6157
1122	6147	6157
1123	6154	6157
1124	6155	6157
1125	6156	6157
1126	6157	6161
1127	6157	6165
1128	6157	11224
1129	6157	6167
1130	6157	6169
1131	6157	7311
1132	6157	6168
1133	6157	6158
1134	3921	6157
1135	6122	6157
1136	6157	6189
1137	6157	6188
1138	6157	6193
1139	6157	6202
1140	6157	6204
1141	6157	6217
1142	6157	6223
1143	6157	6227
1144	6157	6228
1145	6157	6231
1146	6157	6234
1147	6157	6235
1148	6125	6157
1149	6157	6187
1150	6157	6203
1151	6157	6207
1152	6157	6232
1153	6129	6157
1154	6159	6160
1155	6159	6164
1156	6159	25873
1157	6159	6170
1158	6159	6171
1159	6159	6173
1160	4736	6159
1161	6159	6191
1162	6159	6201
1163	6159	6205
1164	6159	6209
1165	6159	6218
1166	6159	6222
1167	6159	6224
1168	6159	6233
1169	6159	10399
1170	6159	6194
1171	6159	6208
1172	6159	6210
1173	6159	6229
1174	6159	6230
1175	2197	6159
1176	6137	6159
1177	6138	6159
1178	6159	23521
1179	6141	6159
1180	6144	6159
1181	6146	6159
1182	6152	6159
1183	6147	6159
1184	6154	6159
1185	6155	6159
1186	6156	6159
1187	6159	6161
1188	6159	6165
1189	6159	11224
1190	6159	6167
1191	6159	6169
1192	6159	7311
1193	6159	6168
1194	6158	6159
1195	3921	6159
1196	6122	6159
1197	6159	6189
1198	6159	6188
1199	6159	6193
1200	6159	6202
1201	6159	6204
1202	6159	6217
1203	6159	6223
1204	6159	6227
1205	6159	6228
1206	6159	6231
1207	6159	6234
1208	6159	6235
1209	6125	6159
1210	6159	6187
1211	6159	6203
1212	6159	6207
1213	6159	6232
1214	6129	6159
1215	6160	6164
1216	6160	25873
1217	6160	6170
1218	6160	6171
1219	6160	6173
1220	4736	6160
1221	6160	6191
1222	6160	6201
1223	6160	6205
1224	6160	6209
1225	6160	6218
1226	6160	6222
1227	6160	6224
1228	6160	6233
1229	6160	10399
1230	6160	6194
1231	6160	6208
1232	6160	6210
1233	6160	6229
1234	6160	6230
1235	2197	6160
1236	6137	6160
1237	6138	6160
1238	6160	23521
1239	6141	6160
1240	6144	6160
1241	6146	6160
1242	6152	6160
1243	6147	6160
1244	6154	6160
1245	6155	6160
1246	6156	6160
1247	6160	6161
1248	6160	6165
1249	6160	11224
1250	6160	6167
1251	6160	6169
1252	6160	7311
1253	6160	6168
1254	6158	6160
1255	3921	6160
1256	6122	6160
1257	6160	6189
1258	6160	6188
1259	6160	6193
1260	6160	6202
1261	6160	6204
1262	6160	6217
1263	6160	6223
1264	6160	6227
1265	6160	6228
1266	6160	6231
1267	6160	6234
1268	6160	6235
1269	6125	6160
1270	6160	6187
1271	6160	6203
1272	6160	6207
1273	6160	6232
1274	6129	6160
1275	6164	25873
1276	6164	6170
1277	6164	6171
1278	6164	6173
1279	4736	6164
1280	6164	6191
1281	6164	6201
1282	6164	6205
1283	6164	6209
1284	6164	6218
1285	6164	6222
1286	6164	6224
1287	6164	6233
1288	6164	10399
1289	6164	6194
1290	6164	6208
1291	6164	6210
1292	6164	6229
1293	6164	6230
1294	2197	6164
1295	6137	6164
1296	6138	6164
1297	6164	23521
1298	6141	6164
1299	6144	6164
1300	6146	6164
1301	6152	6164
1302	6147	6164
1303	6154	6164
1304	6155	6164
1305	6156	6164
1306	6161	6164
1307	6164	6165
1308	6164	11224
1309	6164	6167
1310	6164	6169
1311	6164	7311
1312	6164	6168
1313	6158	6164
1314	3921	6164
1315	6122	6164
1316	6164	6189
1317	6164	6188
1318	6164	6193
1319	6164	6202
1320	6164	6204
1321	6164	6217
1322	6164	6223
1323	6164	6227
1324	6164	6228
1325	6164	6231
1326	6164	6234
1327	6164	6235
1328	6125	6164
1329	6164	6187
1330	6164	6203
1331	6164	6207
1332	6164	6232
1333	6129	6164
1334	6170	25873
1335	6171	25873
1336	6173	25873
1337	4736	25873
1338	6191	25873
1339	6201	25873
1340	6205	25873
1341	6209	25873
1342	6218	25873
1343	6222	25873
1344	6224	25873
1345	6233	25873
1346	10399	25873
1347	6194	25873
1348	6208	25873
1349	6210	25873
1350	6229	25873
1351	6230	25873
1352	2197	25873
1353	6137	25873
1354	6138	25873
1355	23521	25873
1356	6141	25873
1357	6144	25873
1358	6146	25873
1359	6152	25873
1360	6147	25873
1361	6154	25873
1362	6155	25873
1363	6156	25873
1364	6161	25873
1365	6165	25873
1366	11224	25873
1367	6167	25873
1368	6169	25873
1369	7311	25873
1370	6168	25873
1371	6158	25873
1372	3921	25873
1373	6122	25873
1374	6189	25873
1375	6188	25873
1376	6193	25873
1377	6202	25873
1378	6204	25873
1379	6217	25873
1380	6223	25873
1381	6227	25873
1382	6228	25873
1383	6231	25873
1384	6234	25873
1385	6235	25873
1386	6125	25873
1387	6187	25873
1388	6203	25873
1389	6207	25873
1390	6232	25873
1391	6129	25873
1392	6170	6171
1393	6170	6173
1394	4736	6170
1395	6170	6191
1396	6170	6201
1397	6170	6205
1398	6170	6209
1399	6170	6218
1400	6170	6222
1401	6170	6224
1402	6170	6233
1403	6170	10399
1404	6170	6194
1405	6170	6208
1406	6170	6210
1407	6170	6229
1408	6170	6230
1409	2197	6170
1410	6137	6170
1411	6138	6170
1412	6170	23521
1413	6141	6170
1414	6144	6170
1415	6146	6170
1416	6152	6170
1417	6147	6170
1418	6154	6170
1419	6155	6170
1420	6156	6170
1421	6161	6170
1422	6165	6170
1423	6170	11224
1424	6167	6170
1425	6169	6170
1426	6170	7311
1427	6168	6170
1428	6158	6170
1429	3921	6170
1430	6122	6170
1431	6170	6189
1432	6170	6188
1433	6170	6193
1434	6170	6202
1435	6170	6204
1436	6170	6217
1437	6170	6223
1438	6170	6227
1439	6170	6228
1440	6170	6231
1441	6170	6234
1442	6170	6235
1443	6125	6170
1444	6170	6187
1445	6170	6203
1446	6170	6207
1447	6170	6232
1448	6129	6170
1449	6171	6173
1450	4736	6171
1451	6171	6191
1452	6171	6201
1453	6171	6205
1454	6171	6209
1455	6171	6218
1456	6171	6222
