	M	N	n	x	P-value	stat	Network	direction	Name
Brain - Hypothalamus	19056	183	15136	118	3.1456371530508923e-06	0.4659946525707612	innatedb_all	-1	Brain - Hypothalamus
Brain - Nucleus accumbens (basal ganglia)	19056	274	15136	191	0.0001523586490778	0.590814512650804	innatedb_all	-1	Brain - Nucleus accumbens (basal ganglia)
Brain - Putamen (basal ganglia)	19056	99	15136	67	0.0057744906244615	0.5402150109496316	innatedb_all	-1	Brain - Putamen (basal ganglia)
Brain - Spinal cord (cervical c-1)	19056	287	15136	224	0.5563283525822491	0.9196471149260848	innatedb_all	-1	Brain - Spinal cord (cervical c-1)
Brain - Substantia nigra	19056	72	15136	51	0.0791146351430052	0.6277096453430561	innatedb_all	-1	Brain - Substantia nigra
Breast - Mammary Tissue	19056	70	15136	51	0.1821687893825858	0.694140222947159	innatedb_all	-1	Breast - Mammary Tissue
Cells - Cultured fibroblasts	19056	413	15136	380	2.792907530053005e-12	3.033301297058413	innatedb_all	1	Cells - Cultured fibroblasts
Cells - EBV-transformed lymphocytes	19056	872	15136	791	6.006667639844741e-20	2.613418879551097	innatedb_all	1	Cells - EBV-transformed lymphocytes
Cervix - Ectocervix	19056	100	15136	82	0.6198535231494987	1.1808009683657352	innatedb_all	1	Cervix - Ectocervix
Cervix - Endocervix	19056	105	15136	84	1.0	1.0361413765612544	innatedb_all	1	Cervix - Endocervix
Colon - Sigmoid	19056	133	15136	104	0.7466205921259603	0.928281734598374	innatedb_all	-1	Colon - Sigmoid
Colon - Transverse	19056	239	15136	158	1.5460693996003828e-06	0.4999612600538403	innatedb_all	-1	Colon - Transverse
Esophagus - Gastroesophageal Junction	19056	53	15136	43	0.8658379353378781	1.113960113960114	innatedb_all	1	Esophagus - Gastroesophageal Junction
Esophagus - Mucosa	19056	461	15136	353	0.1293415850094341	0.8428324827567201	innatedb_all	-1	Esophagus - Mucosa
Esophagus - Muscularis	19056	95	15136	82	0.0992991138904691	1.6370502089912211	innatedb_all	1	Esophagus - Muscularis
Fallopian Tube	19056	108	15136	71	0.0011015998694109	0.494600873691481	innatedb_all	-1	Fallopian Tube
Heart - Atrial Appendage	19056	147	15136	115	0.683184148496186	0.9301977231875376	innatedb_all	-1	Heart - Atrial Appendage
Heart - Left Ventricle	19056	121	15136	97	0.910478411298036	1.04703326905601	innatedb_all	1	Heart - Left Ventricle
Kidney - Cortex	19056	228	15136	160	0.0009175278243213	0.6052036199095022	innatedb_all	-1	Kidney - Cortex
Kidney - Medulla	19056	250	15136	178	0.0020317417016053	0.6359881742954346	innatedb_all	-1	Kidney - Medulla
Liver	19056	496	15136	411	0.0557065777553145	1.259310895835414	innatedb_all	1	Liver
Lung	19056	303	15136	253	0.0852473761092706	1.3157427937915742	innatedb_all	1	Lung
Minor Salivary Gland	19056	233	15136	172	0.041029475613519	0.727152817034106	innatedb_all	-1	Minor Salivary Gland
Muscle - Skeletal	19056	335	15136	268	0.8380812131085775	1.0365886467581382	innatedb_all	1	Muscle - Skeletal
Nerve - Tibial	19056	284	15136	202	0.0008310545342756	0.6330912927449885	innatedb_all	-1	Nerve - Tibial
Ovary	19056	190	15136	150	0.8569932365615804	0.9709061791004938	innatedb_all	-1	Ovary
Pancreas	19056	156	15136	100	9.051307410854566e-06	0.4588986432561852	innatedb_all	-1	Pancreas
Pituitary	19056	384	15136	239	6.270484871448279e-15	0.4176841900590954	innatedb_all	-1	Pituitary
Prostate	19056	127	15136	90	0.0204312944636123	0.6277505739156676	innatedb_all	-1	Prostate
Skin - Not Sun Exposed (Suprapubic)	19056	525	15136	393	0.0100165932435643	0.7649670413694019	innatedb_all	-1	Skin - Not Sun Exposed (Suprapubic)
Skin - Sun Exposed (Lower leg)	19056	539	15136	404	0.0109752146632582	0.7688679719632747	innatedb_all	-1	Skin - Sun Exposed (Lower leg)
Small Intestine - Terminal Ileum	19056	334	15136	228	1.4471103463359806e-06	0.5502883091767874	innatedb_all	-1	Small Intestine - Terminal Ileum
Spleen	19056	661	15136	543	0.0863576569542113	1.198906603700172	innatedb_all	1	Spleen
Stomach	19056	147	15136	102	0.0039253079585583	0.584231297946876	innatedb_all	-1	Stomach
Testis	19056	2478	15136	1471	1.49940695054433e-134	0.3113967322049713	innatedb_all	-1	Testis
Thyroid	19056	289	15136	202	0.0001251699075982	0.5959293689167201	innatedb_all	-1	Thyroid
Uterus	19056	104	15136	83	1.0	1.0237383467304413	innatedb_all	1	Uterus
Vagina	19056	269	15136	205	0.1963844202971962	0.8272218873484696	innatedb_all	-1	Vagina
Whole Blood	19056	565	15136	474	0.0070117332070158	1.3602824674983998	innatedb_all	1	Whole Blood
Adipose - Subcutaneous	19056	141	16768	128	0.3629741749130748	1.3461538461538465	intact.245	1	Adipose - Subcutaneous
Adipose - Visceral (Omentum)	19056	123	16768	110	0.7802210377514318	1.1556009124744868	intact.245	1	Adipose - Visceral (Omentum)
Adrenal Gland	19056	166	16768	145	0.8100711160617783	0.9416528447389304	intact.245	-1	Adrenal Gland
Artery - Aorta	19056	261	16768	234	0.4440872234605802	1.1851538244425628	intact.245	1	Artery - Aorta
Artery - Coronary	19056	124	16768	108	0.781003501823874	0.9205282112845138	intact.245	-1	Artery - Coronary
Artery - Tibial	19056	222	16768	205	0.0477405249067817	1.653419563804511	intact.245	1	Artery - Tibial
Bladder	19056	46	16768	42	0.6507752364173278	1.4338156164055962	intact.245	1	Bladder
Brain - Amygdala	19056	66	16768	56	0.4452709789820983	0.763331737673528	intact.245	-1	Brain - Amygdala
Brain - Anterior cingulate cortex (BA24)	19056	231	16768	203	0.9189905922801042	0.98913371566556	intact.245	-1	Brain - Anterior cingulate cortex (BA24)
Brain - Caudate (basal ganglia)	19056	184	16768	158	0.3619675437445397	0.8275737507525587	intact.245	-1	Brain - Caudate (basal ganglia)
Brain - Cerebellar Hemisphere	19056	943	16768	821	0.3554065820757476	0.9140349127797304	intact.245	-1	Brain - Cerebellar Hemisphere
Brain - Cerebellum	19056	898	16768	771	0.0456826215847299	0.8201001270415368	intact.245	-1	Brain - Cerebellum
Brain - Cortex	19056	447	16768	386	0.2699266294960554	0.8602224352598113	intact.245	-1	Brain - Cortex
Brain - Frontal Cortex (BA9)	19056	595	16768	518	0.4807221711125142	0.9153230769230768	intact.245	-1	Brain - Frontal Cortex (BA9)
Brain - Hippocampus	19056	53	16768	37	0.0003349418254116	0.3140278524893909	intact.245	-1	Brain - Hippocampus
Brain - Hypothalamus	19056	183	16768	147	0.0027243656512302	0.5532559212241542	intact.245	-1	Brain - Hypothalamus
Brain - Nucleus accumbens (basal ganglia)	19056	274	16768	227	0.0112244647743984	0.6543469676252561	intact.245	-1	Brain - Nucleus accumbens (basal ganglia)
Brain - Putamen (basal ganglia)	19056	99	16768	79	0.0187147014121488	0.5367966924321409	intact.245	-1	Brain - Putamen (basal ganglia)
Brain - Spinal cord (cervical c-1)	19056	287	16768	251	0.7834874804499308	0.9506232635735572	intact.245	-1	Brain - Spinal cord (cervical c-1)
Brain - Substantia nigra	19056	72	16768	59	0.1421565280335808	0.617930456640134	intact.245	-1	Brain - Substantia nigra
Breast - Mammary Tissue	19056	70	16768	60	0.5783948099923291	0.8180512329423031	intact.245	-1	Breast - Mammary Tissue
Cells - Cultured fibroblasts	19056	413	16768	391	5.264073450136097e-06	2.459119496855346	intact.245	1	Cells - Cultured fibroblasts
Cells - EBV-transformed lymphocytes	19056	872	16768	818	6.7714780327319124e-09	2.1216904678973645	intact.245	1	Cells - EBV-transformed lymphocytes
Cervix - Ectocervix	19056	100	16768	86	0.5361394975904349	0.837361056399541	intact.245	-1	Cervix - Ectocervix
Cervix - Endocervix	19056	105	16768	90	0.4515141060712304	0.8177239477155535	intact.245	-1	Cervix - Endocervix
Colon - Sigmoid	19056	133	16768	118	0.893856742190577	1.07392992992993	intact.245	1	Colon - Sigmoid
Colon - Transverse	19056	239	16768	207	0.4838604577293228	0.881196787633597	intact.245	-1	Colon - Transverse
Esophagus - Gastroesophageal Junction	19056	53	16768	45	0.5222290692816003	0.7669078514620582	intact.245	-1	Esophagus - Gastroesophageal Junction
Esophagus - Mucosa	19056	461	16768	412	0.3845379214495045	1.1510074315859873	intact.245	1	Esophagus - Mucosa
Esophagus - Muscularis	19056	95	16768	86	0.5286812621091506	1.3054256750456248	intact.245	1	Esophagus - Muscularis
Fallopian Tube	19056	108	16768	87	0.0246550460233726	0.5630272251577929	intact.245	-1	Fallopian Tube
Heart - Atrial Appendage	19056	147	16768	129	0.8986497459752334	0.9777230202135544	intact.245	-1	Heart - Atrial Appendage
Heart - Left Ventricle	19056	121	16768	106	0.8881994145088637	0.964021926139319	intact.245	-1	Heart - Left Ventricle
Kidney - Cortex	19056	228	16768	198	0.6077275845269614	0.8993844296922149	intact.245	-1	Kidney - Cortex
Kidney - Medulla	19056	250	16768	212	0.117457650375901	0.7581922915527524	intact.245	-1	Kidney - Medulla
Liver	19056	496	16768	451	0.0421747085409646	1.3776947015042251	intact.245	1	Liver
Lung	19056	303	16768	276	0.108102284044875	1.4014336917562724	intact.245	1	Lung
