Interactome	Fold	Prediction Method	Test Set	P@k
IntAct	2	L3	PANTHER	0.0024
IntAct	3	L3	PANTHER	0.0024
IntAct	4	L3	PANTHER	0.0018
IntAct	5	L3	PANTHER	0.0020
IntAct	6	L3	PANTHER	0.0024
IntAct	8	L3	PANTHER	0.0021
IntAct	9	L3	PANTHER	0.0022
IntAct	10	L3	PANTHER	0.0021
iRefIndex	1	L3	PANTHER	0.0060
iRefIndex	2	L3	PANTHER	0.0060
iRefIndex	3	L3	PANTHER	0.0049
iRefIndex	4	L3	PANTHER	0.0055
iRefIndex	5	L3	PANTHER	0.0054
iRefIndex	6	L3	PANTHER	0.0062
iRefIndex	7	L3	PANTHER	0.0062
iRefIndex	8	L3	PANTHER	0.0057
iRefIndex	9	L3	PANTHER	0.0060
iRefIndex	10	L3	PANTHER	0.0058
MatrixDB	1	L3	PANTHER	0.0022
MatrixDB	2	L3	PANTHER	0.0023
MatrixDB	3	L3	PANTHER	0.0018
MatrixDB	4	L3	PANTHER	0.0022
MatrixDB	5	L3	PANTHER	0.0023
MatrixDB	6	L3	PANTHER	0.0018
MatrixDB	7	L3	PANTHER	0.0022
MatrixDB	8	L3	PANTHER	0.0020
MatrixDB	9	L3	PANTHER	0.0020
MatrixDB	10	L3	PANTHER	0.0021
Mentha	1	L3	PANTHER	0.0016
Mentha	2	L3	PANTHER	0.0016
Mentha	3	L3	PANTHER	0.0016
Mentha	4	L3	PANTHER	0.0014
Mentha	5	L3	PANTHER	0.0015
Mentha	6	L3	PANTHER	0.0016
Mentha	7	L3	PANTHER	0.0014
Mentha	8	L3	PANTHER	0.0016
Mentha	9	L3	PANTHER	0.0016
Mentha	10	L3	PANTHER	0.0016
MINT	1	L3	PANTHER	0.0087
MINT	2	L3	PANTHER	0.0071
MINT	3	L3	PANTHER	0.0078
MINT	4	L3	PANTHER	0.0090
MINT	5	L3	PANTHER	0.0097
MINT	6	L3	PANTHER	0.0072
MINT	7	L3	PANTHER	0.0062
MINT	8	L3	PANTHER	0.0085
MINT	9	L3	PANTHER	0.0087
MINT	10	L3	PANTHER	0.0087
MultiNet	1	L3	PANTHER	0.0050
MultiNet	2	L3	PANTHER	0.0043
MultiNet	3	L3	PANTHER	0.0038
MultiNet	4	L3	PANTHER	0.0044
MultiNet	5	L3	PANTHER	0.0042
MultiNet	6	L3	PANTHER	0.0048
MultiNet	7	L3	PANTHER	0.0042
MultiNet	8	L3	PANTHER	0.0046
MultiNet	9	L3	PANTHER	0.0036
MultiNet	10	L3	PANTHER	0.0035
PathwayCommons	1	L3	PANTHER	0.0057
PathwayCommons	2	L3	PANTHER	0.0090
PathwayCommons	3	L3	PANTHER	0.0101
PathwayCommons	4	L3	PANTHER	0.0088
PathwayCommons	5	L3	PANTHER	0.0082
PathwayCommons	6	L3	PANTHER	0.0049
PathwayCommons	7	L3	PANTHER	0.0066
PathwayCommons	8	L3	PANTHER	0.0087
PathwayCommons	9	L3	PANTHER	0.0100
PathwayCommons	10	L3	PANTHER	0.0087
Phosphosite	1	L3	PANTHER	0.0231
Phosphosite	2	L3	PANTHER	0.0298
Phosphosite	3	L3	PANTHER	0.0219
Phosphosite	4	L3	PANTHER	0.0223
Phosphosite	5	L3	PANTHER	0.0280
Phosphosite	6	L3	PANTHER	0.0284
Phosphosite	7	L3	PANTHER	0.0239
Phosphosite	8	L3	PANTHER	0.0222
Phosphosite	9	L3	PANTHER	0.0214
Phosphosite	10	L3	PANTHER	0.0227
PID2	1	L3	PANTHER	0.0148
PID2	2	L3	PANTHER	0.0182
PID2	3	L3	PANTHER	0.0156
PID2	4	L3	PANTHER	0.0164
PID2	5	L3	PANTHER	0.0158
PID2	6	L3	PANTHER	0.0158
PID2	7	L3	PANTHER	0.0140
PID2	8	L3	PANTHER	0.0163
PID2	9	L3	PANTHER	0.0169
PID2	10	L3	PANTHER	0.0147
PIPs	1	L3	PANTHER	0.0196
PIPs	2	L3	PANTHER	0.0215
PIPs	3	L3	PANTHER	0.0268
PIPs	4	L3	PANTHER	0.0185
PIPs	5	L3	PANTHER	0.0220
PIPs	6	L3	PANTHER	0.0229
PIPs	7	L3	PANTHER	0.0218
PIPs	8	L3	PANTHER	0.0244
PIPs	9	L3	PANTHER	0.0248
PIPs	10	L3	PANTHER	0.0219
PrePPI	1	L3	PANTHER	0.0022
PrePPI	2	L3	PANTHER	0.0033
PrePPI	3	L3	PANTHER	0.0025
PrePPI	4	L3	PANTHER	0.0030
PrePPI	5	L3	PANTHER	0.0025
PrePPI	6	L3	PANTHER	0.0018
PrePPI	7	L3	PANTHER	0.0022
PrePPI	8	L3	PANTHER	0.0023
PrePPI	9	L3	PANTHER	0.0030
PrePPI	10	L3	PANTHER	0.0013
PROPER	1	L3	PANTHER	0.0002
PROPER	2	L3	PANTHER	0.0000
PROPER	3	L3	PANTHER	0.0002
PROPER	4	L3	PANTHER	0.0002
PROPER	5	L3	PANTHER	0.0002
PROPER	6	L3	PANTHER	0.0000
PROPER	7	L3	PANTHER	0.0002
PROPER	8	L3	PANTHER	0.0000
PROPER	9	L3	PANTHER	0.0000
PROPER	10	L3	PANTHER	0.0000
ProteomeHD	1	L3	PANTHER	0.0000
ProteomeHD	2	L3	PANTHER	0.0000
ProteomeHD	3	L3	PANTHER	0.0000
ProteomeHD	4	L3	PANTHER	0.0000
ProteomeHD	5	L3	PANTHER	0.0000
ProteomeHD	6	L3	PANTHER	0.0000
ProteomeHD	7	L3	PANTHER	0.0000
ProteomeHD	8	L3	PANTHER	0.0000
ProteomeHD	9	L3	PANTHER	0.0000
ProteomeHD	10	L3	PANTHER	0.0000
PTMCode2	1	L3	PANTHER	0.0300
PTMCode2	2	L3	PANTHER	0.0305
PTMCode2	3	L3	PANTHER	0.0293
PTMCode2	4	L3	PANTHER	0.0272
PTMCode2	5	L3	PANTHER	0.0303
PTMCode2	6	L3	PANTHER	0.0296
PTMCode2	7	L3	PANTHER	0.0299
PTMCode2	8	L3	PANTHER	0.0339
PTMCode2	9	L3	PANTHER	0.0308
PTMCode2	10	L3	PANTHER	0.0362
Reactome	1	L3	PANTHER	0.0421
Reactome	2	L3	PANTHER	0.0463
Reactome	3	L3	PANTHER	0.0415
Reactome	4	L3	PANTHER	0.0437
Reactome	5	L3	PANTHER	0.0405
Reactome	6	L3	PANTHER	0.0406
Reactome	7	L3	PANTHER	0.0416
Reactome	8	L3	PANTHER	0.0415
Reactome	9	L3	PANTHER	0.0419
Reactome	10	L3	PANTHER	0.0454
ReactomeFI(2022)	1	L3	PANTHER	0.0223
ReactomeFI(2022)	2	L3	PANTHER	0.0196
ReactomeFI(2022)	3	L3	PANTHER	0.0171
ReactomeFI(2022)	4	L3	PANTHER	0.0178
ReactomeFI(2022)	5	L3	PANTHER	0.0156
ReactomeFI(2022)	6	L3	PANTHER	0.0148
ReactomeFI(2022)	7	L3	PANTHER	0.0186
ReactomeFI(2022)	8	L3	PANTHER	0.0153
ReactomeFI(2022)	9	L3	PANTHER	0.0199
ReactomeFI(2022)	10	L3	PANTHER	0.0184
SignaLink	1	L3	PANTHER	0.0009
SignaLink	2	L3	PANTHER	0.0006
SignaLink	3	L3	PANTHER	0.0008
SignaLink	4	L3	PANTHER	0.0006
SignaLink	5	L3	PANTHER	0.0007
SignaLink	6	L3	PANTHER	0.0011
SignaLink	7	L3	PANTHER	0.0008
SignaLink	8	L3	PANTHER	0.0010
SignaLink	9	L3	PANTHER	0.0008
SignaLink	10	L3	PANTHER	0.0009
SIGNOR	1	L3	PANTHER	0.0454
SIGNOR	2	L3	PANTHER	0.0434
SIGNOR	3	L3	PANTHER	0.0446
SIGNOR	4	L3	PANTHER	0.0434
SIGNOR	5	L3	PANTHER	0.0506
SIGNOR	6	L3	PANTHER	0.0467
SIGNOR	7	L3	PANTHER	0.0415
SIGNOR	8	L3	PANTHER	0.0461
SIGNOR	9	L3	PANTHER	0.0466
SIGNOR	10	L3	PANTHER	0.0489
SPIKE	1	L3	PANTHER	0.0191
SPIKE	2	L3	PANTHER	0.0186
SPIKE	3	L3	PANTHER	0.0188
SPIKE	4	L3	PANTHER	0.0197
SPIKE	5	L3	PANTHER	0.0171
SPIKE	6	L3	PANTHER	0.0199
SPIKE	7	L3	PANTHER	0.0187
SPIKE	8	L3	PANTHER	0.0185
SPIKE	9	L3	PANTHER	0.0209
SPIKE	10	L3	PANTHER	0.0205
Wan	1	L3	PANTHER	0.0000
Wan	2	L3	PANTHER	0.0008
Wan	3	L3	PANTHER	0.0023
Wan	4	L3	PANTHER	0.0000
Wan	5	L3	PANTHER	0.0008
Wan	6	L3	PANTHER	0.0008
Wan	7	L3	PANTHER	0.0000
Wan	8	L3	PANTHER	0.0000
Wan	9	L3	PANTHER	0.0000
Wan	10	L3	PANTHER	0.0000
Youn	1	L3	PANTHER	0.0000
Youn	2	L3	PANTHER	0.0000
Youn	3	L3	PANTHER	0.0000
Youn	4	L3	PANTHER	0.0000
Youn	5	L3	PANTHER	0.0000
Youn	6	L3	PANTHER	0.0000
Youn	7	L3	PANTHER	0.0000
Youn	8	L3	PANTHER	0.0000
Youn	9	L3	PANTHER	0.0000
Youn	10	L3	PANTHER	0.0000
APID	1	MPS	CORUM	0.1024
APID	2	MPS	CORUM	0.1046
APID	3	MPS	CORUM	0.1017
APID	4	MPS	CORUM	0.1022
APID	5	MPS	CORUM	0.1050
APID	6	MPS	CORUM	0.1039
APID	7	MPS	CORUM	0.1011
APID	8	MPS	CORUM	0.1029
APID	9	MPS	CORUM	0.1021
APID	10	MPS	CORUM	0.1048
BIND	1	MPS	CORUM	0.0033
BIND	2	MPS	CORUM	0.0038
BIND	3	MPS	CORUM	0.0048
BIND	4	MPS	CORUM	0.0046
BIND	5	MPS	CORUM	0.0043
BIND	6	MPS	CORUM	0.0044
BIND	7	MPS	CORUM	0.0040
BIND	8	MPS	CORUM	0.0044
BIND	9	MPS	CORUM	0.0039
BIND	10	MPS	CORUM	0.0041
BioGRID	1	MPS	CORUM	0.0642
BioGRID	2	MPS	CORUM	0.0654
BioGRID	3	MPS	CORUM	0.0661
BioGRID	4	MPS	CORUM	0.0680
BioGRID	5	MPS	CORUM	0.0687
BioGRID	6	MPS	CORUM	0.0620
BioGRID	7	MPS	CORUM	0.0666
BioGRID	8	MPS	CORUM	0.0630
BioGRID	9	MPS	CORUM	0.0663
BioGRID	10	MPS	CORUM	0.0658
BioPlex 293T	1	MPS	CORUM	0.0933
BioPlex 293T	2	MPS	CORUM	0.0965
BioPlex 293T	3	MPS	CORUM	0.0973
BioPlex 293T	4	MPS	CORUM	0.0951
BioPlex 293T	5	MPS	CORUM	0.0965
BioPlex 293T	6	MPS	CORUM	0.0960
BioPlex 293T	7	MPS	CORUM	0.0967
BioPlex 293T	8	MPS	CORUM	0.0980
BioPlex 293T	9	MPS	CORUM	0.0958
BioPlex 293T	10	MPS	CORUM	0.0944
BioPlex HCT116	1	MPS	CORUM	0.1115
BioPlex HCT116	2	MPS	CORUM	0.1115
BioPlex HCT116	3	MPS	CORUM	0.1118
BioPlex HCT116	4	MPS	CORUM	0.1114
BioPlex HCT116	5	MPS	CORUM	0.1131
BioPlex HCT116	6	MPS	CORUM	0.1118
BioPlex HCT116	7	MPS	CORUM	0.1125
BioPlex HCT116	8	MPS	CORUM	0.1131
BioPlex HCT116	9	MPS	CORUM	0.1130
BioPlex HCT116	10	MPS	CORUM	0.1138
ComPPI	1	MPS	CORUM	0.0925
ComPPI	2	MPS	CORUM	0.0947
ComPPI	3	MPS	CORUM	0.0935
ComPPI	4	MPS	CORUM	0.0962
ComPPI	5	MPS	CORUM	0.0942
ComPPI	6	MPS	CORUM	0.0928
ComPPI	7	MPS	CORUM	0.0939
ComPPI	8	MPS	CORUM	0.0985
ComPPI	9	MPS	CORUM	0.0949
ComPPI	10	MPS	CORUM	0.0941
DIP	1	MPS	CORUM	0.0659
DIP	2	MPS	CORUM	0.0651
DIP	3	MPS	CORUM	0.0648
DIP	4	MPS	CORUM	0.0668
DIP	5	MPS	CORUM	0.0687
DIP	6	MPS	CORUM	0.0653
DIP	7	MPS	CORUM	0.0689
DIP	8	MPS	CORUM	0.0641
DIP	9	MPS	CORUM	0.0641
DIP	10	MPS	CORUM	0.0687
GeneMANIA	1	MPS	CORUM	0.0337
GeneMANIA	2	MPS	CORUM	0.0321
GeneMANIA	3	MPS	CORUM	0.0337
GeneMANIA	4	MPS	CORUM	0.0344
GeneMANIA	5	MPS	CORUM	0.0335
GeneMANIA	6	MPS	CORUM	0.0306
GeneMANIA	7	MPS	CORUM	0.0335
GeneMANIA	8	MPS	CORUM	0.0328
GeneMANIA	9	MPS	CORUM	0.0327
GeneMANIA	10	MPS	CORUM	0.0329
Havugimana	1	MPS	CORUM	0.1601
Havugimana	2	MPS	CORUM	0.1680
Havugimana	3	MPS	CORUM	0.1680
Havugimana	4	MPS	CORUM	0.1638
Havugimana	5	MPS	CORUM	0.1635
Havugimana	6	MPS	CORUM	0.1625
Havugimana	7	MPS	CORUM	0.1641
Havugimana	8	MPS	CORUM	0.1636
Havugimana	9	MPS	CORUM	0.1658
Havugimana	10	MPS	CORUM	0.1635
Hein	1	MPS	CORUM	0.0137
Hein	2	MPS	CORUM	0.0138
Hein	3	MPS	CORUM	0.0131
Hein	4	MPS	CORUM	0.0128
Hein	5	MPS	CORUM	0.0131
Hein	6	MPS	CORUM	0.0136
Hein	7	MPS	CORUM	0.0131
Hein	8	MPS	CORUM	0.0138
Hein	9	MPS	CORUM	0.0133
Hein	10	MPS	CORUM	0.0141
HuRI	1	MPS	CORUM	0.0011
HuRI	2	MPS	CORUM	0.0012
HuRI	3	MPS	CORUM	0.0010
HuRI	4	MPS	CORUM	0.0012
HuRI	5	MPS	CORUM	0.0010
HuRI	6	MPS	CORUM	0.0017
HuRI	7	MPS	CORUM	0.0012
HuRI	8	MPS	CORUM	0.0009
HuRI	9	MPS	CORUM	0.0008
HuRI	10	MPS	CORUM	0.0013
HINT	1	MPS	CORUM	0.0574
HINT	2	MPS	CORUM	0.0582
HINT	3	MPS	CORUM	0.0587
HINT	4	MPS	CORUM	0.0574
HINT	5	MPS	CORUM	0.0558
HINT	6	MPS	CORUM	0.0581
HINT	7	MPS	CORUM	0.0612
HINT	8	MPS	CORUM	0.0584
HINT	9	MPS	CORUM	0.0577
HINT	10	MPS	CORUM	0.0581
HIPPIE	1	MPS	CORUM	0.0619
HIPPIE	2	MPS	CORUM	0.0629
HIPPIE	3	MPS	CORUM	0.0626
HIPPIE	4	MPS	CORUM	0.0598
HIPPIE	5	MPS	CORUM	0.0621
HIPPIE	6	MPS	CORUM	0.0618
HIPPIE	7	MPS	CORUM	0.0630
HIPPIE	8	MPS	CORUM	0.0636
HIPPIE	9	MPS	CORUM	0.0613
HIPPIE	10	MPS	CORUM	0.0619
HPRD	1	MPS	CORUM	0.0275
HPRD	2	MPS	CORUM	0.0282
HPRD	3	MPS	CORUM	0.0285
HPRD	4	MPS	CORUM	0.0292
HPRD	5	MPS	CORUM	0.0282
HPRD	6	MPS	CORUM	0.0297
HPRD	7	MPS	CORUM	0.0297
HPRD	8	MPS	CORUM	0.0288
HPRD	9	MPS	CORUM	0.0277
HPRD	10	MPS	CORUM	0.0272
HumanNet-XC	1	MPS	CORUM	0.0224
HumanNet-XC	2	MPS	CORUM	0.0216
HumanNet-XC	3	MPS	CORUM	0.0200
HumanNet-XC	4	MPS	CORUM	0.0215
HumanNet-XC	5	MPS	CORUM	0.0212
HumanNet-XC	6	MPS	CORUM	0.0207
HumanNet-XC	7	MPS	CORUM	0.0202
HumanNet-XC	8	MPS	CORUM	0.0215
HumanNet-XC	9	MPS	CORUM	0.0200
HumanNet-XC	10	MPS	CORUM	0.0202
HumanNet-FN	1	MPS	CORUM	0.0188
HumanNet-FN	2	MPS	CORUM	0.0174
HumanNet-FN	3	MPS	CORUM	0.0188
HumanNet-FN	4	MPS	CORUM	0.0198
HumanNet-FN	5	MPS	CORUM	0.0184
HumanNet-FN	6	MPS	CORUM	0.0199
HumanNet-FN	7	MPS	CORUM	0.0197
HumanNet-FN	8	MPS	CORUM	0.0180
HumanNet-FN	9	MPS	CORUM	0.0162
HumanNet-FN	10	MPS	CORUM	0.0188
IID	1	MPS	CORUM	0.0005
IID	2	MPS	CORUM	0.0003
IID	3	MPS	CORUM	0.0008
IID	4	MPS	CORUM	0.0002
IID	5	MPS	CORUM	0.0005
IID	6	MPS	CORUM	0.0003
IID	7	MPS	CORUM	0.0003
IID	8	MPS	CORUM	0.0006
IID	9	MPS	CORUM	0.0002
IID	10	MPS	CORUM	0.0004
InBio	1	MPS	CORUM	0.0410
InBio	2	MPS	CORUM	0.0404
InBio	3	MPS	CORUM	0.0420
InBio	4	MPS	CORUM	0.0418
InBio	5	MPS	CORUM	0.0402
InBio	6	MPS	CORUM	0.0419
InBio	7	MPS	CORUM	0.0415
InBio	8	MPS	CORUM	0.0417
InBio	9	MPS	CORUM	0.0394
InBio	10	MPS	CORUM	0.0414
InnateDB All	1	MPS	CORUM	0.0673
InnateDB All	2	MPS	CORUM	0.0684
InnateDB All	3	MPS	CORUM	0.0691
InnateDB All	4	MPS	CORUM	0.0710
InnateDB All	5	MPS	CORUM	0.0687
InnateDB All	6	MPS	CORUM	0.0702
InnateDB All	7	MPS	CORUM	0.0685
InnateDB All	8	MPS	CORUM	0.0703
InnateDB All	9	MPS	CORUM	0.0709
InnateDB All	10	MPS	CORUM	0.0688
IntAct	1	MPS	CORUM	0.0483
IntAct	2	MPS	CORUM	0.0512
IntAct	3	MPS	CORUM	0.0485
IntAct	4	MPS	CORUM	0.0508
IntAct	5	MPS	CORUM	0.0522
IntAct	6	MPS	CORUM	0.0498
IntAct	7	MPS	CORUM	0.0506
IntAct	8	MPS	CORUM	0.0505
IntAct	9	MPS	CORUM	0.0509
IntAct	10	MPS	CORUM	0.0487
iRefIndex	1	MPS	CORUM	0.0152
iRefIndex	2	MPS	CORUM	0.0134
iRefIndex	3	MPS	CORUM	0.0131
iRefIndex	4	MPS	CORUM	0.0118
iRefIndex	5	MPS	CORUM	0.0114
iRefIndex	6	MPS	CORUM	0.0137
iRefIndex	7	MPS	CORUM	0.0154
iRefIndex	8	MPS	CORUM	0.0139
iRefIndex	9	MPS	CORUM	0.0135
iRefIndex	10	MPS	CORUM	0.0145
MatrixDB	1	MPS	CORUM	0.0220
MatrixDB	2	MPS	CORUM	0.0213
MatrixDB	3	MPS	CORUM	0.0219
MatrixDB	4	MPS	CORUM	0.0218
MatrixDB	5	MPS	CORUM	0.0202
MatrixDB	6	MPS	CORUM	0.0218
MatrixDB	7	MPS	CORUM	0.0223
MatrixDB	8	MPS	CORUM	0.0213
MatrixDB	9	MPS	CORUM	0.0227
MatrixDB	10	MPS	CORUM	0.0214
Mentha	1	MPS	CORUM	0.0946
Mentha	2	MPS	CORUM	0.0918
Mentha	3	MPS	CORUM	0.0944
Mentha	4	MPS	CORUM	0.0953
Mentha	5	MPS	CORUM	0.0957
Mentha	6	MPS	CORUM	0.0951
Mentha	7	MPS	CORUM	0.0963
Mentha	8	MPS	CORUM	0.0954
Mentha	9	MPS	CORUM	0.0928
Mentha	10	MPS	CORUM	0.0964
MINT	1	MPS	CORUM	0.0244
MINT	2	MPS	CORUM	0.0238
MINT	3	MPS	CORUM	0.0236
MINT	4	MPS	CORUM	0.0233
MINT	5	MPS	CORUM	0.0232
MINT	6	MPS	CORUM	0.0234
MINT	7	MPS	CORUM	0.0242
MINT	8	MPS	CORUM	0.0233
MINT	9	MPS	CORUM	0.0236
MINT	10	MPS	CORUM	0.0227
MultiNet	1	MPS	CORUM	0.0116
MultiNet	2	MPS	CORUM	0.0112
MultiNet	3	MPS	CORUM	0.0117
MultiNet	4	MPS	CORUM	0.0115
MultiNet	5	MPS	CORUM	0.0115
MultiNet	6	MPS	CORUM	0.0111
MultiNet	7	MPS	CORUM	0.0112
MultiNet	8	MPS	CORUM	0.0109
MultiNet	9	MPS	CORUM	0.0108
MultiNet	10	MPS	CORUM	0.0107
PathwayCommons	1	MPS	CORUM	0.0136
PathwayCommons	2	MPS	CORUM	0.0148
PathwayCommons	3	MPS	CORUM	0.0168
PathwayCommons	4	MPS	CORUM	0.0132
PathwayCommons	5	MPS	CORUM	0.0122
PathwayCommons	6	MPS	CORUM	0.0153
PathwayCommons	7	MPS	CORUM	0.0116
PathwayCommons	8	MPS	CORUM	0.0139
PathwayCommons	9	MPS	CORUM	0.0113
PathwayCommons	10	MPS	CORUM	0.0163
Phosphosite	1	MPS	CORUM	0.0031
Phosphosite	2	MPS	CORUM	0.0040
Phosphosite	3	MPS	CORUM	0.0049
Phosphosite	4	MPS	CORUM	0.0040
Phosphosite	5	MPS	CORUM	0.0045
Phosphosite	6	MPS	CORUM	0.0025
Phosphosite	7	MPS	CORUM	0.0027
Phosphosite	8	MPS	CORUM	0.0035
Phosphosite	9	MPS	CORUM	0.0043
Phosphosite	10	MPS	CORUM	0.0032
PID2	1	MPS	CORUM	0.0401
PID2	2	MPS	CORUM	0.0396
PID2	3	MPS	CORUM	0.0396
PID2	4	MPS	CORUM	0.0406
PID2	5	MPS	CORUM	0.0379
PID2	6	MPS	CORUM	0.0407
PID2	7	MPS	CORUM	0.0360
PID2	8	MPS	CORUM	0.0397
PID2	9	MPS	CORUM	0.0354
PID2	10	MPS	CORUM	0.0411
PIPs	1	MPS	CORUM	0.0193
PIPs	2	MPS	CORUM	0.0197
PIPs	3	MPS	CORUM	0.0190
PIPs	4	MPS	CORUM	0.0193
PIPs	5	MPS	CORUM	0.0191
PIPs	6	MPS	CORUM	0.0204
PIPs	7	MPS	CORUM	0.0193
PIPs	8	MPS	CORUM	0.0196
PIPs	9	MPS	CORUM	0.0194
PIPs	10	MPS	CORUM	0.0177
PrePPI	1	MPS	CORUM	0.0025
PrePPI	2	MPS	CORUM	0.0019
PrePPI	3	MPS	CORUM	0.0021
PrePPI	4	MPS	CORUM	0.0022
PrePPI	5	MPS	CORUM	0.0018
PrePPI	6	MPS	CORUM	0.0018
PrePPI	7	MPS	CORUM	0.0022
PrePPI	8	MPS	CORUM	0.0020
PrePPI	9	MPS	CORUM	0.0021
PrePPI	10	MPS	CORUM	0.0019
PROPER	3	MPS	CORUM	0.0008
PROPER	4	MPS	CORUM	0.0009
PROPER	5	MPS	CORUM	0.0008
PROPER	6	MPS	CORUM	0.0007
ProteomeHD	1	MPS	CORUM	0.0708
ProteomeHD	2	MPS	CORUM	0.0680
ProteomeHD	3	MPS	CORUM	0.0746
ProteomeHD	4	MPS	CORUM	0.0721
ProteomeHD	5	MPS	CORUM	0.0706
ProteomeHD	6	MPS	CORUM	0.0770
ProteomeHD	7	MPS	CORUM	0.0628
ProteomeHD	8	MPS	CORUM	0.0702
ProteomeHD	9	MPS	CORUM	0.0660
ProteomeHD	10	MPS	CORUM	0.0716
PTMCode2	1	MPS	CORUM	0.1644
PTMCode2	2	MPS	CORUM	0.1666
PTMCode2	3	MPS	CORUM	0.1647
PTMCode2	4	MPS	CORUM	0.1672
PTMCode2	5	MPS	CORUM	0.1640
PTMCode2	6	MPS	CORUM	0.1654
PTMCode2	7	MPS	CORUM	0.1666
PTMCode2	8	MPS	CORUM	0.1650
PTMCode2	9	MPS	CORUM	0.1684
PTMCode2	10	MPS	CORUM	0.1633
Reactome	1	MPS	CORUM	0.0473
Reactome	2	MPS	CORUM	0.0478
Reactome	3	MPS	CORUM	0.0511
Reactome	4	MPS	CORUM	0.0516
Reactome	5	MPS	CORUM	0.0433
Reactome	6	MPS	CORUM	0.0519
Reactome	7	MPS	CORUM	0.0490
Reactome	8	MPS	CORUM	0.0490
Reactome	9	MPS	CORUM	0.0525
Reactome	10	MPS	CORUM	0.0506
ReactomeFI(2022)	1	MPS	CORUM	0.1443
ReactomeFI(2022)	2	MPS	CORUM	0.1393
ReactomeFI(2022)	3	MPS	CORUM	0.1397
ReactomeFI(2022)	4	MPS	CORUM	0.1487
ReactomeFI(2022)	5	MPS	CORUM	0.1444
ReactomeFI(2022)	6	MPS	CORUM	0.1382
ReactomeFI(2022)	7	MPS	CORUM	0.1404
ReactomeFI(2022)	8	MPS	CORUM	0.1385
ReactomeFI(2022)	9	MPS	CORUM	0.1458
ReactomeFI(2022)	10	MPS	CORUM	0.1474
SignaLink	1	MPS	CORUM	0.0017
SignaLink	3	MPS	CORUM	0.0014
SignaLink	4	MPS	CORUM	0.0012
SignaLink	5	MPS	CORUM	0.0044
SignaLink	6	MPS	CORUM	0.0014
SignaLink	9	MPS	CORUM	0.0014
SignaLink	10	MPS	CORUM	0.0016
SIGNOR	1	MPS	CORUM	0.0053
SIGNOR	2	MPS	CORUM	0.0044
SIGNOR	3	MPS	CORUM	0.0048
SIGNOR	4	MPS	CORUM	0.0052
SIGNOR	5	MPS	CORUM	0.0042
SIGNOR	6	MPS	CORUM	0.0045
SIGNOR	7	MPS	CORUM	0.0052
SIGNOR	8	MPS	CORUM	0.0059
SIGNOR	9	MPS	CORUM	0.0047
SIGNOR	10	MPS	CORUM	0.0054
SPIKE	1	MPS	CORUM	0.0166
SPIKE	2	MPS	CORUM	0.0164
SPIKE	3	MPS	CORUM	0.0169
SPIKE	4	MPS	CORUM	0.0172
SPIKE	5	MPS	CORUM	0.0165
SPIKE	6	MPS	CORUM	0.0168
SPIKE	7	MPS	CORUM	0.0159
SPIKE	8	MPS	CORUM	0.0165
SPIKE	9	MPS	CORUM	0.0158
SPIKE	10	MPS	CORUM	0.0161
Wan	1	MPS	CORUM	0.1258
Wan	2	MPS	CORUM	0.1297
Wan	3	MPS	CORUM	0.1282
Wan	4	MPS	CORUM	0.1258
Wan	5	MPS	CORUM	0.1275
Wan	6	MPS	CORUM	0.1212
Wan	7	MPS	CORUM	0.1255
Wan	8	MPS	CORUM	0.1206
Wan	9	MPS	CORUM	0.1267
Wan	10	MPS	CORUM	0.1273
APID	1	MPS	Held-out	0.0975
APID	2	MPS	Held-out	0.0960
APID	3	MPS	Held-out	0.0959
APID	4	MPS	Held-out	0.0986
APID	5	MPS	Held-out	0.0964
APID	6	MPS	Held-out	0.0926
APID	7	MPS	Held-out	0.0930
APID	8	MPS	Held-out	0.0948
APID	9	MPS	Held-out	0.0968
APID	10	MPS	Held-out	0.0972
BIND	1	MPS	Held-out	0.3372
BIND	2	MPS	Held-out	0.3564
BIND	3	MPS	Held-out	0.3183
BIND	4	MPS	Held-out	0.3441
BIND	5	MPS	Held-out	0.3391
BIND	6	MPS	Held-out	0.3489
BIND	7	MPS	Held-out	0.3509
BIND	8	MPS	Held-out	0.3383
BIND	9	MPS	Held-out	0.3537
BIND	10	MPS	Held-out	0.3407
BioGRID	1	MPS	Held-out	0.1225
BioGRID	2	MPS	Held-out	0.1232
BioGRID	3	MPS	Held-out	0.1244
BioGRID	4	MPS	Held-out	0.1236
BioGRID	5	MPS	Held-out	0.1238
BioGRID	6	MPS	Held-out	0.1249
BioGRID	7	MPS	Held-out	0.1261
BioGRID	8	MPS	Held-out	0.1222
BioGRID	9	MPS	Held-out	0.1253
BioGRID	10	MPS	Held-out	0.1219
BioPlex 293T	1	MPS	Held-out	0.1458
BioPlex 293T	2	MPS	Held-out	0.1503
BioPlex 293T	3	MPS	Held-out	0.1430
BioPlex 293T	4	MPS	Held-out	0.1412
BioPlex 293T	5	MPS	Held-out	0.1469
BioPlex 293T	6	MPS	Held-out	0.1506
BioPlex 293T	7	MPS	Held-out	0.1450
BioPlex 293T	8	MPS	Held-out	0.1541
BioPlex 293T	9	MPS	Held-out	0.1465
BioPlex 293T	10	MPS	Held-out	0.1450
BioPlex HCT116	1	MPS	Held-out	0.1769
BioPlex HCT116	2	MPS	Held-out	0.1727
BioPlex HCT116	3	MPS	Held-out	0.1817
