Interactome	Fold	Prediction Method	Test Set	P@k
Mentha	4	MPS	Held-out	0.0885
Mentha	5	MPS	Held-out	0.0945
Mentha	6	MPS	Held-out	0.0924
Mentha	7	MPS	Held-out	0.0942
Mentha	8	MPS	Held-out	0.0927
Mentha	9	MPS	Held-out	0.0868
Mentha	10	MPS	Held-out	0.0939
MINT	1	MPS	Held-out	0.0912
MINT	2	MPS	Held-out	0.0969
MINT	3	MPS	Held-out	0.0950
MINT	4	MPS	Held-out	0.0854
MINT	5	MPS	Held-out	0.0879
MINT	6	MPS	Held-out	0.0880
MINT	7	MPS	Held-out	0.0927
MINT	8	MPS	Held-out	0.0912
MINT	9	MPS	Held-out	0.0890
MINT	10	MPS	Held-out	0.0910
MultiNet	1	MPS	Held-out	0.1760
MultiNet	2	MPS	Held-out	0.1771
MultiNet	3	MPS	Held-out	0.1759
MultiNet	4	MPS	Held-out	0.1697
MultiNet	5	MPS	Held-out	0.1751
MultiNet	6	MPS	Held-out	0.1850
MultiNet	7	MPS	Held-out	0.1795
MultiNet	8	MPS	Held-out	0.1790
MultiNet	9	MPS	Held-out	0.1720
MultiNet	10	MPS	Held-out	0.1767
PathwayCommons	1	MPS	Held-out	0.3213
PathwayCommons	2	MPS	Held-out	0.3177
PathwayCommons	3	MPS	Held-out	0.3206
PathwayCommons	4	MPS	Held-out	0.3223
PathwayCommons	5	MPS	Held-out	0.3219
PathwayCommons	6	MPS	Held-out	0.3206
PathwayCommons	7	MPS	Held-out	0.3230
PathwayCommons	8	MPS	Held-out	0.3214
PathwayCommons	9	MPS	Held-out	0.3204
PathwayCommons	10	MPS	Held-out	0.3196
Phosphosite	1	MPS	Held-out	0.0500
Phosphosite	2	MPS	Held-out	0.0435
Phosphosite	3	MPS	Held-out	0.0531
Phosphosite	4	MPS	Held-out	0.0363
Phosphosite	5	MPS	Held-out	0.0548
Phosphosite	6	MPS	Held-out	0.0483
Phosphosite	7	MPS	Held-out	0.0462
Phosphosite	8	MPS	Held-out	0.0469
Phosphosite	9	MPS	Held-out	0.0423
Phosphosite	10	MPS	Held-out	0.0518
PID2	1	MPS	Held-out	0.1544
PID2	2	MPS	Held-out	0.1454
PID2	3	MPS	Held-out	0.1487
PID2	4	MPS	Held-out	0.1624
PID2	5	MPS	Held-out	0.1539
PID2	6	MPS	Held-out	0.1479
PID2	7	MPS	Held-out	0.1475
PID2	8	MPS	Held-out	0.1531
PID2	9	MPS	Held-out	0.1432
PID2	10	MPS	Held-out	0.1603
PIPs	1	MPS	Held-out	0.2350
PIPs	2	MPS	Held-out	0.2522
PIPs	3	MPS	Held-out	0.2408
PIPs	4	MPS	Held-out	0.2431
PIPs	5	MPS	Held-out	0.2329
PIPs	6	MPS	Held-out	0.2386
PIPs	7	MPS	Held-out	0.2283
PIPs	8	MPS	Held-out	0.2344
PIPs	9	MPS	Held-out	0.2288
PIPs	10	MPS	Held-out	0.2393
PrePPI	1	MPS	Held-out	0.0000
PrePPI	2	MPS	Held-out	0.0000
PrePPI	3	MPS	Held-out	0.0000
PrePPI	4	MPS	Held-out	0.0000
PrePPI	5	MPS	Held-out	0.0000
PrePPI	6	MPS	Held-out	0.0000
PrePPI	7	MPS	Held-out	0.0000
PrePPI	8	MPS	Held-out	0.0018
PrePPI	9	MPS	Held-out	0.0000
PrePPI	10	MPS	Held-out	0.0000
PROPER	3	MPS	Held-out	0.0145
PROPER	4	MPS	Held-out	0.0146
PROPER	5	MPS	Held-out	0.0138
PROPER	6	MPS	Held-out	0.0155
ProteomeHD	1	MPS	Held-out	0.3988
ProteomeHD	2	MPS	Held-out	0.4192
ProteomeHD	3	MPS	Held-out	0.4191
ProteomeHD	4	MPS	Held-out	0.3907
ProteomeHD	5	MPS	Held-out	0.4398
ProteomeHD	6	MPS	Held-out	0.4335
ProteomeHD	7	MPS	Held-out	0.4021
ProteomeHD	8	MPS	Held-out	0.4186
ProteomeHD	9	MPS	Held-out	0.4240
ProteomeHD	10	MPS	Held-out	0.4332
PTMCode2	1	MPS	Held-out	0.1631
PTMCode2	2	MPS	Held-out	0.1650
PTMCode2	3	MPS	Held-out	0.1632
PTMCode2	4	MPS	Held-out	0.1550
PTMCode2	5	MPS	Held-out	0.1700
PTMCode2	6	MPS	Held-out	0.1532
PTMCode2	7	MPS	Held-out	0.1689
PTMCode2	8	MPS	Held-out	0.1637
PTMCode2	9	MPS	Held-out	0.1634
PTMCode2	10	MPS	Held-out	0.1772
Reactome	1	MPS	Held-out	0.5499
Reactome	2	MPS	Held-out	0.5559
Reactome	3	MPS	Held-out	0.5584
Reactome	4	MPS	Held-out	0.5274
Reactome	5	MPS	Held-out	0.5362
Reactome	6	MPS	Held-out	0.5277
Reactome	7	MPS	Held-out	0.5591
Reactome	8	MPS	Held-out	0.5409
Reactome	9	MPS	Held-out	0.5476
Reactome	10	MPS	Held-out	0.5582
ReactomeFI(2022)	1	MPS	Held-out	0.5301
ReactomeFI(2022)	2	MPS	Held-out	0.5273
ReactomeFI(2022)	3	MPS	Held-out	0.5301
ReactomeFI(2022)	4	MPS	Held-out	0.5214
ReactomeFI(2022)	5	MPS	Held-out	0.5287
ReactomeFI(2022)	6	MPS	Held-out	0.5307
ReactomeFI(2022)	7	MPS	Held-out	0.5288
ReactomeFI(2022)	8	MPS	Held-out	0.5246
ReactomeFI(2022)	9	MPS	Held-out	0.5302
ReactomeFI(2022)	10	MPS	Held-out	0.5247
SignaLink	1	MPS	Held-out	0.0440
SignaLink	3	MPS	Held-out	0.0463
SignaLink	4	MPS	Held-out	0.0438
SignaLink	5	MPS	Held-out	0.1297
SignaLink	6	MPS	Held-out	0.0453
SignaLink	9	MPS	Held-out	0.0449
SignaLink	10	MPS	Held-out	0.0441
SIGNOR	1	MPS	Held-out	0.1405
SIGNOR	2	MPS	Held-out	0.1116
SIGNOR	3	MPS	Held-out	0.1155
SIGNOR	4	MPS	Held-out	0.1388
SIGNOR	5	MPS	Held-out	0.1316
SIGNOR	6	MPS	Held-out	0.1255
SIGNOR	7	MPS	Held-out	0.1320
SIGNOR	8	MPS	Held-out	0.1304
SIGNOR	9	MPS	Held-out	0.1335
SIGNOR	10	MPS	Held-out	0.1297
SPIKE	1	MPS	Held-out	0.1466
SPIKE	2	MPS	Held-out	0.1474
SPIKE	3	MPS	Held-out	0.1478
SPIKE	4	MPS	Held-out	0.1458
SPIKE	5	MPS	Held-out	0.1439
SPIKE	6	MPS	Held-out	0.1460
SPIKE	7	MPS	Held-out	0.1391
SPIKE	8	MPS	Held-out	0.1411
SPIKE	9	MPS	Held-out	0.1452
SPIKE	10	MPS	Held-out	0.1438
Wan	1	MPS	Held-out	0.2133
Wan	2	MPS	Held-out	0.2398
Wan	3	MPS	Held-out	0.2338
