	M	N	n	x	P-value	stat	Network
skin 1	11042	120	10212	113	0.6020185608865476	1.3155333625677224	irefindex.v20
skin 2	11042	281	10212	266	0.2057759905105757	1.4531134794557277	irefindex.v20
small intestine	11042	693	10212	632	0.18074610105520897	0.8316643280057496	irefindex.v20
smooth muscle	11042	286	10212	272	0.11009036862910307	1.594941075021558	irefindex.v20
soft tissue 1	11042	93	10212	88	0.5546322099962989	1.4342157250098775	irefindex.v20
soft tissue 2	11042	112	10212	105	0.7209236350745782	1.2214306915998814	irefindex.v20
spleen	11042	400	10212	370	1.0	1.0025062656641603	irefindex.v20
stomach 1	11042	632	10212	593	0.2133216364175073	1.2503645296035357	irefindex.v20
stomach 2	11042	605	10212	568	0.2039835638333271	1.2623000437185423	irefindex.v20
testis	11042	867	10212	759	9.006873465326476e-08	0.5367666937010003	irefindex.v20
thyroid gland	11042	282	10212	260	0.8189959165320206	0.9595147617655656	irefindex.v20
tonsil	11042	435	10212	409	0.26456731206171885	1.2901701990756362	irefindex.v20
urinary bladder	11042	337	10212	319	0.14115893868715862	1.4546087581567213	irefindex.v20
vagina	11042	234	10212	221	0.31467916672627455	1.3901511360224201	irefindex.v20
adrenal gland	11042	571	7769	341	2.5016568492126804e-08	0.6073745639296668	matrixdb
appendix	11042	348	7769	215	0.0005235150428150699	0.6719539117850225	matrixdb
bone marrow	11042	646	7769	443	0.30741575982148894	0.9144903972490179	matrixdb
breast	11042	77	7769	49	0.21050891986302736	0.7355893782383419	matrixdb
bronchus	11042	478	7769	255	1.4501217906579432e-15	0.46415599699693605	matrixdb
caudate	11042	504	7769	282	2.6040563298741925e-12	0.5176431941491377	matrixdb
cerebellum	11042	297	7769	174	1.4254921237779633e-05	0.5867146229065977	matrixdb
cerebral cortex	11042	497	7769	291	1.1199920334985621e-08	0.5793674389860743	matrixdb
cervix	11042	160	7769	94	0.0016351760828085832	0.5951199289310038	matrixdb
colon	11042	271	7769	162	0.00019850203805763086	0.6181751959506152	matrixdb
duodenum	11042	679	7769	387	2.8874156442348607e-14	0.5351999309687021	matrixdb
endometrium 1	11042	195	7769	106	2.3914223894362663e-06	0.4948688209945059	matrixdb
endometrium 2	11042	148	7769	73	8.634285034004432e-08	0.40445945945945944	matrixdb
epididymis	11042	470	7769	278	1.2333108853953705e-07	0.5955187892137231	matrixdb
esophagus	11042	294	7769	207	1.0	1.0024441627374623	matrixdb
fallopian tube	11042	408	7769	212	1.83831560436288e-15	0.4404107017956051	matrixdb
gallbladder	11042	566	7769	351	1.3106322341065145e-05	0.6730065773385918	matrixdb
heart muscle	11042	428	7769	273	0.002946399346771481	0.7326178262815437	matrixdb
hippocampus	11042	460	7769	286	0.00013496339391962662	0.6807107604823808	matrixdb
kidney	11042	424	7769	221	9.918946008705281e-16	0.442795011760529	matrixdb
liver	11042	222	7769	115	4.487586949998668e-09	0.444566276505596	matrixdb
lung	11042	267	7769	168	0.008106869471591515	0.7086148951692959	matrixdb
lymph node	11042	456	7769	318	0.7536911102931885	0.9695517963739912	matrixdb
nasopharynx	11042	363	7769	199	2.6845276195742286e-10	0.49834955053645646	matrixdb
oral mucosa	11042	238	7769	163	0.5190398106743194	0.9137943728635288	matrixdb
ovary	11042	134	7769	85	0.08639315684513035	0.727830955391006	matrixdb
pancreas	11042	198	7769	122	0.007559398219755967	0.6711162960362853	matrixdb
parathyroid gland	11042	204	7769	117	7.19741449812301e-05	0.5599347477332949	matrixdb
placenta	11042	412	7769	293	0.7834217908960335	1.0387548277738061	matrixdb
prostate	11042	246	7769	152	0.0037165802731234827	0.6748733935010992	matrixdb
rectum	11042	489	7769	292	2.814291987979217e-07	0.6097833695074371	matrixdb
salivary gland	11042	285	7769	164	3.6542069035345987e-06	0.5617530876272135	matrixdb
seminal vesicle	11042	267	7769	182	0.4166305358587348	0.8997061537149459	matrixdb
skeletal muscle	11042	403	7769	248	0.00012035032988904396	0.6633160483978194	matrixdb
skin 1	11042	120	7769	84	0.9201832054131017	0.9828236824983735	matrixdb
skin 2	11042	281	7769	189	0.2606690430892796	0.8621214293908455	matrixdb
small intestine	11042	693	7769	380	5.770625224051097e-19	0.486345949877138	matrixdb
smooth muscle	11042	286	7769	188	0.08802597945572692	0.8034317803100662	matrixdb
soft tissue 1	11042	93	7769	61	0.30679857928077664	0.8015252010897769	matrixdb
soft tissue 2	11042	112	7769	79	1.0	1.0086298616857785	matrixdb
spleen	11042	400	7769	264	0.05779565334876102	0.811388486107301	matrixdb
stomach 1	11042	632	7769	354	3.637455579287201e-15	0.5143327010677365	matrixdb
stomach 2	11042	605	7769	343	2.27820113368703e-13	0.5308216643400637	matrixdb
testis	11042	867	7769	399	6.624185383530212e-55	0.3244833524684271	matrixdb
thyroid gland	11042	282	7769	177	0.005486655681445762	0.7034171308143911	matrixdb
tonsil	11042	435	7769	292	0.1338768015081374	0.8547985383614647	matrixdb
urinary bladder	11042	337	7769	220	0.039556561130429505	0.786111931959064	matrixdb
vagina	11042	234	7769	166	0.8850976471018105	1.029063604923753	matrixdb
adrenal gland	11042	571	10382	530	0.2048934314431085	0.8121911608884663	mentha.23.11.6
appendix	11042	348	10382	328	1.0	1.0439626019494728	mentha.23.11.6
bone marrow	11042	646	10382	608	1.0	1.0182115817474933	mentha.23.11.6
breast	11042	77	10382	68	0.0480127338844796	0.47689225001615926	mentha.23.11.6
bronchus	11042	478	10382	427	4.5135271957213335e-05	0.5121931042633026	mentha.23.11.6
caudate	11042	504	10382	470	0.441513272261823	0.8730356549399421	mentha.23.11.6
cerebellum	11042	297	10382	272	0.08112352232126598	0.6833630069238378	mentha.23.11.6
cerebral cortex	11042	497	10382	468	1.0	1.0271368249706092	mentha.23.11.6
cervix	11042	160	10382	146	0.13126571450723795	0.6581532964885837	mentha.23.11.6
colon	11042	271	10382	250	0.24065027913918624	0.7508036771755682	mentha.23.11.6
duodenum	11042	679	10382	622	0.009296730309180344	0.6741911130284728	mentha.23.11.6
endometrium 1	11042	195	10382	168	4.1980192103806916e-05	0.38561451602375824	mentha.23.11.6
endometrium 2	11042	148	10382	123	2.063680622549481e-06	0.3045326055171069	mentha.23.11.6
epididymis	11042	470	10382	419	3.605855494384595e-05	0.5021934097336616	mentha.23.11.6
esophagus	11042	294	10382	275	0.7076979290677523	0.9179411871917847	mentha.23.11.6
fallopian tube	11042	408	10382	359	3.0714572425116395e-06	0.4466237857010508	mentha.23.11.6
gallbladder	11042	566	10382	526	0.27379019581400493	0.8272118506493507	mentha.23.11.6
heart muscle	11042	428	10382	396	0.176667135894451	0.7782395353494893	mentha.23.11.6
hippocampus	11042	460	10382	435	0.6881247611073438	1.1107871720116618	mentha.23.11.6
kidney	11042	424	10382	387	0.020870080746474135	0.6519502994740614	mentha.23.11.6
liver	11042	222	10382	208	0.7750171454056463	0.9433570164845966	mentha.23.11.6
lung	11042	267	10382	254	0.51418285466664	1.248161988090898	mentha.23.11.6
lymph node	11042	456	10382	433	0.4791806897036953	1.2053691216508542	mentha.23.11.6
nasopharynx	11042	363	10382	320	1.4409706946477953e-05	0.4563335228559674	mentha.23.11.6
oral mucosa	11042	238	10382	223	0.7821232708491754	0.9438921153656856	mentha.23.11.6
ovary	11042	134	10382	122	0.1416379350647482	0.6421052631578947	mentha.23.11.6
